Item,Data Format / Dimension,Frequency,Link to source,
CBN Circulars ,PDF,Random,https://www.cbn.gov.ng/documents/circulars.html,
MPR,CSV,Random,https://www.cbn.gov.ng/rates/mnymktind.html,
NGX ASI Performance,CSV,Daily,https://ng.investing.com/indices/nse-all-share-historical-data,
FGN BOND AUCTION RESULT,PDF,,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/6019-summary-of-fgn-bond-auction-results-for-august-2026/file,
Inflation Rate(Nigeria),CSV,Monthly,https://microdata.nigerianstat.gov.ng/index.php/catalog/154/related-materials,
CBN Rates,CSV,Daily,https://www.cbn.gov.ng/rates/ExchRateByCurrency.html,
Bonny oil prices,CSV,Daily,https://www.cbn.gov.ng/rates/DailyCrude.html,
Foreign Reserves,CSV,Daily,https://www.cbn.gov.ng/IntOps/Reserve.html,
OMO/NTB Auction results,CSV,,https://www.cbn.gov.ng/rates/GovtSecuritiesDrillDown.html?market=OMO,
DXY,CSV,Daily,https://www.wsj.com/market-data/quotes/index/DXY/historical-prices,
US 10yr interest rate,CSV,Daily,https://fred.stlouisfed.org/data/DGS10,
Fed's Broad Dollar Index,,Daily,https://www.federalreserve.gov/releases/h10/summary/jrxwtfb_nb.htm,
Parallel Market Rates,CSV,Daily,abokifx / Numerofx,
Money Supply(M2),CSV,Monthly,https://www.cbn.gov.ng/rates/mnycredit.html,
FPI and FDI,CSV,Monthly,https://statistics.cbn.gov.ng/data-browser,Recorded as Capital Importation 
GDP Growth rate,ZIP File/CSV,Quarterly,https://microdata.nigerianstat.gov.ng/index.php/catalog/147/related-materials,
VIX (Volatility),CSV,Daily,https://www.wsj.com/market-data/quotes/index/VIX/historical-prices,
Gold prices,CSV,Daily,https://ng.investing.com/currencies/xau-usd-historical-data,
Brent prices,,Daily,https://finance.yahoo.com/quote/BZ=F/history/,
