date,amtOffered,auction,auctionDate,auctionNo,id,maturityDate,netType,netValue,rangeBid,rate,rateDescription,securityType,successfulBidRates,tenor,totalAmtRepaid,totalSubscription,totalSuccessful,trueYield,week
2006-01-03,,OMO,January-03-2006,OMO/S/241/05,576,February-28-2006,Sales,19,12.0000%,12,Maginal,NTB,12.0000%,56,0,19,19,12.2244,
2006-01-04,20000,Primary Market,January-04-2006,04/01/2006,577,July-05-2006,Purchases,11008,13.5000% - 14.0000%,14,Maginal,NTB,13.5000% - 14.0000%,182,17995,6987,6987,15.0476,
2006-01-05,15000,Primary Market,January-05-2006,05/01/2006,578,April-06-2006,Purchases,2582,7.2000% - 17.0000%,12.5,Issue,NTB,7.2000% - 12.5000%,91,14027,11997,11445,12.901,1st Week
2006-01-18,,OMO,January-18-2006,OMO/S/04/06,579,March-22-2006,Sales,2000,11.5000% - 12.0000%,12,Maginal,NTB,11.5000% - 12.0000%,63,0,2000,2000,12.2531,3rd Week
2006-01-18,20000,Primary Market,January-18-2006,18/01/06,580,July-19-2006,Sales,5324.69,12.0000% - 21.0000%,14.24,Maginal,NTB,12.0000% - 14.2400%,182,14675.31,37927.66,20000,15.3252,
2006-01-19,,OMO,January-19-2006,OMO/S/5/05,581,March-23-2006,Sales,1000,11.9000% - 12.8900%,11.9,Issue,NTB,11.9000%,63,0,4000,1000,12.1489,
2006-01-19,10000,Primary Market,January-19-2006,19/01/2006,582,April-20-2006,Sales,4007,7.4590% - 14.0220%,11.9,Maginal,NTB,7.4590% - 11.8970%,91,5993,13819,10000,12.2596,3rd Week
2006-02-08,,OMO,February-08-2006,OMO/S/09/06,583,March-15-2006,Sales,11000,10.5000% - 11.7490%,11.1,Issue,NTB,10.5000% - 11.1000%,35,0,22200,11000,11.2191,
2006-02-08,20000,Primary Market,February-08-2006,08/02/2006,584,August-09-2006,Sales,8348.28,12.0000% - 17.0000%,14.03,Maginal,NTB,12.0000% - 14.0300%,182,11651.72,32550.89,20000,15.0822,
2006-02-09,15000,Primary Market,February-09-2006,09/02/2006,585,March-30-2006,Sales,468,7.5000% - 12.0000%,11.15,Maginal,NTB,7.5000% - 11.1500%,49,14532,27553,15000,11.319,2nd Week
2006-02-10,,OMO,February-10-2006,OMO/S/11/06,586,March-31-2006,Sales,47500,10.5000% - 10.9900%,10.99,Maginal,NTB,10.5000% - 10.9900%,49,0,47500,47500,11.1541,
2006-02-14,,OMO,February-14-2006,OMO/S/13/06,587,April-11-2006,Sales,2450,10.7500% - 17.0000%,11.5,Issue,NTB,10.7500% - 11.5000%,56,0,6450,2450,11.706,
2006-02-16,,OMO,February-16-2006,OMO/S/15/06,588,July-13-2006,Sales,9900,12.3000% - 13.9700%,12.5,Issue,NTB,12.3000% - 12.5000%,147,0,1010,9900,13.1607,
2006-02-21,,OMO,February-21-2006,OMO/S/18/06,589,August-22-2006,Purchases,20,14.2500% - 22.0000%,15,Issue,NTB,14.2500% - 15.0000%,182,6020,40550,6000,16.209,
2006-02-22,,OMO,February-22-2006,OMO/S/19/06,590,August-23-2006,Sales,7050,13.4800% - 22.0000%,14.5,Issue,NTB,13.4800% - 14.5000%,182,1200,25930,8250,15.6267,
2006-02-23,15860.57,Primary Market,February-23-2006,23/02/2006,591,May-25-2006,Sales,3140,5.9900% - 13.9800%,8,Issue,NTB,5.9900% - 8.0000%,91,11860,19136.79,13120,8.1624,
2006-02-24,,OMO,February-24-2006,OMO/S/21/06,592,August-25-2006,Sales,13350,13.0000% - 15.9400%,13.5,Issue,NTB,13.0000% - 13.5000%,182,1300,22500,14650,14.4715,
2006-03-03,,OMO,March-03-2006,OMO/S/26/06,593,September-01-2006,Sales,22900,10.7500% - 13.9700%,12.5,Issue,NTB,10.7500% - 12.500%,182,0,25400,22900,13.3285,
2006-03-03,25000,Primary Market,March-03-2006,03/03/2006,594,March-02-2007,Sales,25000,8.0000% - 18.0000%,9.68,Maginal,NTB,8.0000% - 9.6800%,364,0,51275,25000,10.7112,1st Week
2006-03-20,,OMO,March-20-2006,OMO/S/39/06,595,May-22-2006,Purchases,5000,0,0,Stop,NTB,0,63,5000,0,0,0,
2006-03-22,,OMO,March-22-2006,OMO/S/41/06,596,May-24-2006,Sales,380,7.2480   -  7.4780,7.48,Maginal,NTB,7.2480  -  7.4780,63,0,380,380,7.5755,
2006-03-22,,OMO,March-22-2006,OMO/S/42/06,597,June-21-2006,Sales,1250,8.4890  -  8.5000,8.5,Issue,NTB,8.4890  -  8.5000,91,0,1250,1250,8.6835,
2006-03-22,20000,Primary Market,March-22-2006,22/03/2006,598,September-20-2006,Sales,7882,10.8500  -  17.000,11.54,Issue,NTB,10.8500  -  11.5400,182,12118,35208,20000,12.2425,
2006-03-23,,OMO,March-23-2006,OMO/S/43/06,599,June-22-2006,Sales,750,8.5,8.5,Maginal,NTB,8.5,91,0,750,750,8.6835,
2006-03-29,10000,Primary Market,March-29-2006,29/02/06,600,September-27-2006,Purchases,16615,10.00  -  15.50,10.89,Issue,NTB,10.00  -  10.89,182,16615,32730,10000,11.5135,5th Week
2006-04-12,10000,Primary Market,April-12-2006,12/04/2006,601,October-11-2006,Sales,3110,8.5000% - 11.1490%,9.9,Maginal,NTB,8.5000% - 9.9000%,182,6890,36007,10000,10.4126,
2006-04-13,10000,Primary Market,April-13-2006,13/04/2006,602,July-13-2006,Sales,6543,4.5000% - 6.8900%,6,Maginal,NTB,4.5000% - 5.9980%,91,3457,10686,10000,6.0888,2nd Week
2006-04-20,10000,Primary Market,April-20-2006,20/04/2006,603,July-20-2006,Sales,9.56,4.5000% - 6.5000%,5.98,Maginal,NTB,4.5000% - 5.9750%,91,9990.44,10348.88,10000,6.0651,3rd Week
2006-04-20,,OMO,April-20-2006,OMO/S/49/06,604,October-19-2006,Sales,3550,9.4000% - 12.0000%,10,Issue,NTB,9.4000% - 10.0000%,182,0,5950,3550,10.5233,
2006-04-24,,OMO,April-24-2006,OMO/S/51/06,605,October-23-2006,Sales,11000,9.5000% - 10.7500%,10,Issue,NTB,9.5000% - 10.0000%,182,0,11750,11000,10.5233,
2006-04-25,,OMO,April-25-2006,OMO/S/52/06,606,October-24-2006,Sales,3000,9.5000% - 10.0000%,9.8,Issue,NTB,9.5000% - 9.8000%,182,0,3750,3000,10.302,
2006-04-26,,OMO,April-26-2006,OMO/S/53/06,607,October-25-2006,Sales,2000,7.5000% - 9.7500%,7.5,Issue,NTB,7.500%,182,0,11500,2000,7.7905,
2006-04-27,10000,Primary Market,April-27-2006,27/4/2006,608,July-27-2006,Sales,379.93,4.5000% - 5.9000%,5.05,Maginal,NTB,4.5000% - 5.0500%,91,9620.07,20772.14,10000,5.1142,3rd Week
2006-04-27,,OMO,April-27-2006,OMO/S/54/06,609,October-26-2006,Purchases,4630,7.5000%,7.5,Maginal,NTB,7.5000%,182,7630,3000,3000,7.7905,
2006-04-28,,OMO,April-28-2006,OMO/S/55/06,610,October-27-2006,Purchases,2400,7.2500% - 7.5000%,7.5,Maginal,NTB,7.2500% - 7.5000%,182,6900,4500,4500,7.7905,
2006-05-02,,OMO,May-02-2006,OMO/S/56/06,611,October-31-2006,Sales,0,7.5000%,7.5,Maginal,NTB,7.5000%,182,6000,6000,6000,7.7905,1st Week
2006-05-03,10000,Primary Market,May-03-2006,03/05/2006,612,November-01-2006,Sales,6033.58,6.0000% - 8.2500%,7.04,Maginal,NTB,6.0000% - 7.0400%,182,3966.42,16357.63,10000,7.2954,
2006-05-04,10000,Primary Market,May-04-2006,04/05/2006,613,August-03-2006,Sales,0,4.2000% - 7.0150%,5,Maginal,NTB,4.2000% - 5.0000%,91,10000,11645.01,10000,5.0629,
2006-05-04,,OMO,May-04-2006,OMO/S/58/06,614,November-02-2006,Sales,4000,7.2500% - 7.5000%,7.5,Maginal,NTB,7.2500% - 7.5000%,182,0,4000,4000,7.7905,1st Week
2006-05-05,,OMO,May-05-2006,OMO/S/59/06,615,November-03-2006,Sales,13000,7.2500% - 7.5000%,7.5,Maginal,NTB,7.2500% - 7.5000%,182,0,13000,13000,7.7905,
2006-05-05,25000,Primary Market,May-05-2006,05/05/2006,616,May-04-2007,Sales,25000,8.5000% - 10.7500%,8.95,Maginal,NTB,8.5000% - 8.9500%,364,0,49576.93,25000,9.8245,1st Week
2006-05-10,,OMO,May-10-2006,OMO/S/62/06,617,July-05-2006,Sales,750,4.3500% - 8.0000%,4.35,Issue,NTB,4.3500%,56,0,2500,750,4.3791,
2006-05-10,10000,Primary Market,May-10-2006,10/05/2006,618,November-08-2006,Purchases,1587.1,6.3900% - 8.0000%,6.7,Maginal,NTB,6.3900% - 6.7000%,182,11587.1,18256.85,10000,6.9309,2nd Week
2006-05-11,,OMO,May-11-2006,OMO/S/63/06,619,July-06-2006,Sales,5000,4.0000% - 4.2500%,4.25,Maginal,NTB,4.0000% - 4.2500%,56,0,5000,5000,4.2778,2nd Week
2006-05-11,10000,Primary Market,May-11-2006,11/05/2006,620,August-10-2006,Purchases,4843.29,4.0000% - 5.0000%,4.5,Maginal,NTB,4.0000% - 4.5000%,91,14843.29,17870.03,10000,4.5509,
2006-05-12,,OMO,May-12-2006,OMO/S/64/06,621,July-07-2006,Sales,0,4.3450% - 4.3500%,0,Issue,NTB,0,56,0,1500,0,0,
2006-05-17,10000,Primary Market,May-17-2006,17/05/2006,622,November-15-2006,Sales,10000,5.0000% - 9.9900%,6.5,Maginal,NTB,5.0000% - 6.4990%,182,0,17210.89,10000,6.716,
2006-05-18,10000,Primary Market,May-18-2006,18/05/2006,623,August-17-2006,Purchases,730.33,3.9000% - 5.8890%,4.35,Maginal,NTB,3.9000% - 4.3500%,91,10730.33,12639.53,10000,4.3976,3rd Week
2006-05-19,,OMO,May-19-2006,OMO/S/69/06,624,May-18-2007,Sales,6650,9.9600% - 14.0000%,10,Issue,NTB,9.9000% - 10.0000%,364,0,11650,6650,11.1044,
2006-05-22,,OMO,May-22-2006,OMO/S/70/06,625,May-21-2007,Sales,3750,10.0000% - 11.0000%,10,Issue,NTB,10.0000%,364,0,4750,3750,11.1044,
2006-05-23,,OMO,May-23-2006,OMO/S/71/06,626,May-22-2007,Sales,452,9.7500% - 10.0000%,10,Maginal,NTB,9.7500% - 10.0000%,364,5250,5702,5702,11.1044,
2006-05-25,,OMO,May-25-2006,OMO/S/71/06/56,627,July-20-2006,Sales,1500,3.5000% - 3.6500%,3.65,Maginal,NTB,3.5000% - 3.6500%,56,0,1500,1500,3.6705,
2006-05-25,10000,Primary Market,May-25-2006,25/05/2006,628,August-24-2006,Purchases,1368,3.5000% - 5.1000%,4,Maginal,NTB,3.5000% - 4.0000%,91,11368,16267,10000,4.0402,
2006-05-25,,OMO,May-25-2006,OMO/S/71A/06,629,May-24-2007,Sales,6500,9.8500% - 10.0000%,10,Maginal,NTB,9.8500% - 10.0000%,364,0,6500,6500,11.1044,
2006-05-26,10360,Primary Market,May-26-2006,26/05A/2006,630,May-26-2013,Sales,10360,12.0000% - 18.0000%,15,Maginal,Bonds,12.0000% -15.0000%,2557,0,16590,10360,-312.8205,
2006-05-26,,OMO,May-26-2006,OMO/S/72/06/182,631,November-24-2006,Sales,4000,7.0000% - 7.5000%,7.5,Maginal,NTB,7.0000% - 7.5000%,182,0,4000,4000,7.7905,
2006-05-26,,OMO,May-26-2006,OMO/S/72/06/364,632,May-25-2007,Sales,6400,8.9000% - 12.0000%,10,Issue,NTB,8.9000% - 10.0000%,364,0,12650,6400,11.1044,4th Week
2006-05-30,,OMO,May-30-2006,OMO/S/73/06/35,633,July-04-2006,Sales,10000,3.7500%,3.75,Maginal,NTB,3.7500%,35,0,10000,10000,3.7635,
2006-05-30,,OMO,May-30-2006,OMO/S/73/06/182,634,November-28-2006,Sales,185.08,7.0000%,7,Maginal,NTB,7.0000%,182,0,185.08,185,7.2524,5th Week
2006-05-30,,OMO,May-30-2006,OMO/S/73/06/364,635,May-29-2007,Sales,2700,9.9980% - 10.0000%,10,Maginal,NTB,9.9980% - 10.0000%,364,2700,2700,2700,11.1044,
2006-05-31,10000,Primary Market,May-31-2006,31/05/2006/182,636,November-29-2006,Purchases,5788.34,5.2400% - 6.6500%,6.65,Issue,NTB,5.2400% - 6.6500%,182,12015.28,6226.94,6227,6.8774,
2006-05-31,,OMO,May-31-2006,OMO/S/74/06/364,637,May-30-2007,Sales,5000,10.0000%,10,Maginal,NTB,10.0000%,364,0,5000,5000,11.1044,
2006-06-01,10000,Primary Market,June-01-2006,01/06/2006,638,August-31-2006,Sales,860.91,3.5000% - 4.0000%,4,Maginal,NTB,3.5000% - 4.0000%,91,4745.97,5606.88,5607,4.0402,
2006-06-02,,OMO,June-02-2006,OMO/S/76/06/364,639,June-01-2007,Sales,5050,12.0000% - 13.5000%,12.5,Issue,NTB,12.0000% - 12.5000%,364,0,9750,5050,14.2746,
2006-06-02,25000,Primary Market,June-02-2006,O2/06/2006/364,640,May-01-2007,Sales,13566,10000% - 12000%,12,Issue,NTB,10000% - 12000%,365,0,13566,13566,13.6262,1st Week
2006-06-05,,OMO,June-05-2006,OMO/S/77/06/364,641,June-04-2007,Sales,19500,12.0000% - 12.6500%,12.5,Issue,NTB,12.0000% - 12.5500%,364,0,20000,19500,14.2746,
2006-06-07,10000,Primary Market,June-07-2006,07/06/2006/182,642,December-06-2006,Purchases,4668.07,6.0500% - 12.0000%,6.44,Maginal,NTB,6.0500% - 6.4400%,182,14668.07,14140,10000,6.6531,
2006-06-07,,OMO,June-07-2006,OMO/S/79/06/364,643,June-06-2007,Sales,14695,11.0000% - 13.0000%,12.5,Issue,NTB,11.0000% - 12.5000,364,0,15695,14695,14.2746,
2006-06-08,10000,Primary Market,June-08-2006,08/06/2006/91,644,September-07-2006,Purchases,4625.23,3.2500% - 4.6480%,4.65,Maginal,NTB,3.2500% - 4.6480%,91,14625.23,14512.68,10000,4.7023,
2006-06-12,,OMO,June-12-2006,OMO/S/82/06/364,645,June-11-2007,Purchases,3000,12.5000% - 13.0000%,0,Issue,NTB,0,364,3000,500,0,0,
2006-06-13,,OMO,June-13-2006,OMO/S/83/06/364,646,June-12-2007,Sales,1035,12.0000% - 12.5000%,12.5,Maginal,NTB,12.0000% - 12.5000%,364,0,1035,1035,14.2746,
2006-06-14,10000,Primary Market,June-14-2006,14/06/2006/182,647,December-13-2006,Purchases,4769,5.9000% - 12.0000%,6.3,Maginal,NTB,5.9000% - 6.3000%,182,14769,14467,10000,6.5037,
2006-06-14,,OMO,June-14-2006,OMO/S/84/06/364,648,June-13-2007,Purchases,200,12.5000% - 13.5000%,12.5,Issue,NTB,12.5000%,364,750,1650,550,14.2746,
2006-06-15,10000,Primary Market,June-15-2006,15/06/2006/91,649,September-14-2006,Purchases,5787,3.0000% - 4.0000%,3.5,Issue,NTB,3.0000% - 3.5000%,91,15199,9473,9412,3.5307,
2006-06-19,,OMO,June-19-2006,OMO/S/87/06/364,650,June-18-2007,Sales,1875,12.5000%,12.5,Maginal,NTB,12.5000%,364,0,1875,1875,14.2746,
2006-06-20,,OMO,June-20-2006,OMO/S/88/06/364,651,June-19-2007,Purchases,369,12.0000% - 12.5000%,12.5,Maginal,NTB,12.0000% - 12.5000%,364,7200,6831,6831,14.2746,
2006-06-21,,OMO,June-21-2006,OMO/S/89/06/35,652,July-26-2006,Sales,4000,3.0000% - 3.2500%,3.25,Maginal,NTB,3.0000% - 3.2500%,35,1000,5000,5000,3.2601,
2006-06-21,10000,Primary Market,June-21-2006,21/06/2006/182,653,December-20-2006,Purchases,2587.33,5.9500% - 12.5000%,6.25,Maginal,NTB,5.9500% - 6.2500%,182,12587.33,16188.36,10000,6.4505,
2006-06-21,,OMO,June-21-2006,OMO/S/89/06/364,654,June-20-2007,Sales,4072,12.2500% - 12.7500%,12.5,Issue,NTB,12.2500% - 12.5000%,364,0,4572,4072,14.2746,
2006-06-22,,OMO,June-22-2006,OMO/S/90/06/35,655,July-27-2006,Sales,1000,3.0000%,3,Issue,NTB,3.0000%,35,0,1000,1000,3.0086,
2006-06-22,10000,Primary Market,June-22-2006,22/06/2006/91,656,September-21-2006,Purchases,3177.45,2.9000% - 8.0000%,3.5,Maginal,NTB,2.9000% - 3.5000%,91,13177.45,12000,10000,3.5307,
2006-06-22,,OMO,June-22-2006,OMO/S/90/06/182,657,December-21-2006,Sales,2000,6.0000%,6,Maginal,NTB,6.0000%,182,0,2000,2000,6.1845,
2006-06-22,,OMO,June-22-2006,OMO/S/90/06/364,658,June-21-2007,Sales,6215,12.4980% - 13.5000%,12.5,Issue,NTB,12.4980% - 12.5000%,364,0,6325,6215,14.2746,
2006-06-23,,OMO,June-23-2006,OMO/S/91/06/364,659,June-22-2007,Purchases,12100,12.5000%,12.5,Maginal,NTB,12.5000%,364,17950,5850,5850,14.2746,
2006-06-26,,OMO,June-26-2006,OMO/S/92/06/364,660,June-25-2007,Sales,17500,12.5000% - 14.5000%,14,Issue,NTB,12.5000% - 14.0000%,364,0,18000,17500,16.2646,
2006-06-27,,OMO,June-27-2006,OMO/S/93/06/35,661,August-01-2006,Purchases,500,3.7500% - 12.5000%,3.75,Issue,NTB,3.7500%,35,1000,1500,500,3.7635,
2006-06-27,,OMO,June-27-2006,OMO/S/93/06/364,662,June-26-2007,Sales,12591,13.5000% - 17.0000%,14,Issue,NTB,13.5000% - 14.0000%,364,0,22991,12591,16.2646,
2006-06-28,10000,Primary Market,June-28-2006,28/06/2006,663,December-27-2006,Purchases,3348.25,4.2000% - 12.0000%,11.99,Maginal,NTB,4.2000% - 11.9900%,182,13348.25,11500,10000,12.7502,
2006-06-28,,OMO,June-28-2006,OMO/S/94/06/364,664,June-27-2007,Sales,7745.22,13.8000% - 17.0000%,14,Issue,NTB,13.8000% - 14.0000%,364,15750,39240.72,23495,16.2646,
2006-06-29,,OMO,June-29-2006,OMO/S/95/06/91,665,September-28-2006,Sales,3000,10.5000% - 11.5000%,11.5,Maginal,NTB,10.5000% - 11.5000%,91,0,3000,3000,11.8385,
2006-06-29,,OMO,June-29-2006,OMO/S/95/06/182,666,December-28-2006,Purchases,4050,12.0000% - 13.5000%,13,Issue,NTB,12.0000% - 13.0000%,182,10050,7000,6000,13.8985,
2006-06-29,,OMO,June-29-2006,OMO/S/95/06/364,667,June-28-2007,Sales,25593,13.9400% - 17.0000%,14,Issue,NTB,13.9400% - 14.0000%,364,0,35339,25593,16.2646,
2006-06-30,28944.56,Primary Market,June-30-2006,30/06/2006/7,668,June-30-2013,Sales,21697.56,8.0000% - 16.0000%,16,Issue,FGN Bonds,8.0000% - 16.0000%,7,0,21697.56,21698,16.0491,
