date,bankReserves,baseMoney,cbnBills,creditToGovernment,creditToGovernmentFed,creditToPrivateSector,currencyInCirculation,currencyOutsideBanks,demandDeposits,id,mirrorAccounts,moneySupply_M2,moneySupply_M3,narrowMoney,netDomesticAssets,netDomesticCredit,netForeignAssets,otherAssetsNet,period,quasiMoney,specialInterventionReserves,tmonth,tyear
2006-01-01,132780.86,705528.26,,417689.8,,1981707.7,572747.4,478452.1,1242186.1,150,,2967139.5,,1720638.2,-1708425.4,2399397.6,4675564.9,-4107823,January 2006,1246501.3,,1,2006
2006-02-01,158981.99,720608.39,,179810.7,,1113895.9,561626.4,524540.5,870045.1,151,,2227472.8,,1394585.6,-2177825.2,1293706.7,4405298,-3471531.9,February 2006,832887.1,,2,2006
2006-03-01,165175.7,728888.7,,471892.3,,2126956.6,563713,479967.2,1357503.2,152,,3307667.9,,1837470.4,-1801292,2598849,5108959.9,-4400141,March 2006,1470197.4,,3,2006
2006-04-01,195383.7,805514,,523023.3,,2173758.9,610130.3,527021.2,1499052.5,153,,3540703.6,,2026073.8,-1142818.6,2696782.2,4683522.2,-3839600.8,April 2006,1514629.8,,4,2006
2006-05-01,241133.3,852357.6,,8761.3,,2351085.9,611224.3,520662.3,1557909.9,154,,3684404.5,,2078572.2,-1743655.6,2359847.2,5428060.1,-4103502.8,May 2006,1605832.3,,5,2006
2006-06-01,194811.4,797640.4,,360789.4,,2303700.5,602829,514609.1,1702322.4,155,,3911821.5,,2216931.5,-1656988.5,2664489.9,5568810,-4321478.4,June 2006,1694890,,6,2006
2006-07-01,189270.4,796129.9,,-154889.2,,2384795.4,606859.5,511172.6,1743976.9,156,,4109850.4,,2255149.4,-1609205,2229906.1,5719055.4,-3839111.1,July 2006,1854701,,7,2006
2006-08-01,228804.4,838151,,-84417.3,,2542805.2,609346.6,504805.6,1731775.3,157,,4189053.5,,2236580.9,-1311342.5,2458387.9,5500396,-3769730.4,August 2006,1952472.6,,8,2006
2006-09-01,200809.25,815950.15,,-235144.7,,2571678,615140.9,524351.9,1804641.2,158,,4320672.3,,2328993.1,-1398029.9,2336533.4,5718702.3,-3734563.3,September 2006,1991679.2,,9,2006
2006-10-01,141953.05,771464.22,,-894120.9,,2633999.4,629511.2,520905.8,2047428.2,159,,4730662.8,,2568334.1,-1796663.8,1739878.6,6527326.7,-3536542.4,October 2006,2162328.8,,10,2006
2006-11-01,130457.92,799978.93,,-1589697.2,,2652208,669521,567273.6,1867966.2,160,,4557557.2,,2435239.8,-2137042,1062510.8,6694599.2,-3199552.8,November 2006,2122317.4,,11,2006
2006-12-01,195649.76,974903.92,,-1936615.7,,2650821.5,779254.2,650943.6,1629705.3,161,,4027901.7,,2280648.9,-2279957.6,714205.7,6307859.3,-2994163.3,December 2006,1747252.8,,12,2006
2007-01-01,122727.72,827891.53,,-2598554.7,,2336212,705163.8,601410.1,1575809,162,,3900134.7,,2177219.2,-3179135.8,-262342.7,7079270.5,-2916793.1,January 2007,1722915.6,,1,2007
2007-02-01,96786.01,801370.8,,-2469053.1,,2371289.9,704584.8,604116.9,1648878.3,163,,4122142,,2252995.2,-2629909.9,-97763.2,6752051.9,-2532146.7,February 2007,1869146.8,,2,2007
2007-03-01,113839.48,841250.7,,-2508626.6,,3048942.3,727411.2,593302.2,2009130.2,164,,4798317.4,,2602432.4,-2199623.4,540315.8,6997940.8,-2739939.2,March 2007,2195884.9,,3,2007
2007-04-01,130008.38,896020.1,,-2754698,,3211551,766011.7,609486.8,2239922.6,165,,5052863.3,,2849409.4,-2040995.1,456853,7093858.4,-2497848.1,April 2007,2203453.9,,4,2007
2007-05-01,288690.29,1031500.71,,-2436619.1,,3425313.2,742810.4,565350,1993337.5,166,,4909220.6,,2558687.5,-2412925.4,988694.1,7322146,-3401619.5,May 2007,2350533.1,,5,2007
2007-06-01,143345.6,858301.17,,-2615012,,3503723,714955.6,525742.5,2113318.5,167,,5116246.7,,2639061,-2517165.9,888710.9,7633412.6,-3405876.8,June 2007,2477185.7,,6,2007
2007-07-01,221031.71,935374.78,,-2742458,,3829247.1,714343.1,519114.3,2231392.2,168,,5130160.2,,2750506.5,-1875751.4,1086789.1,7005911.5,-2962540.5,July 2007,2379653.6,,7,2007
2007-08-01,224476.14,942180.62,,-2495428.9,,3909449.7,717704.5,523997,2348269.8,169,,5550488.3,,2872266.8,-1178779.8,1414020.8,6729268,-2592800.6,August 2007,2678221.5,,8,2007
2007-09-01,244970,967276.92,,-2462861,,4203169.5,722306.9,543386.4,2495221.5,170,,5672622.4,,3038607.9,-1304648.4,1740308.5,6977270.9,-3044956.9,September 2007,2634014.5,,9,2007
2007-10-01,185136.02,940779.37,,-2625690.8,,4415556.4,755643.4,571347.8,2367525.4,171,,5585227.8,,2938873.1,-1600485.6,1789865.7,7185713.4,-3390351.3,October 2007,2646354.6,,10,2007
2007-11-01,300891.63,1091068.72,,-2197226.5,,4712718.9,790177.1,634096.7,2321006.9,172,,5881558.6,,2955103.6,-1216563.3,2515492.5,7098122,-3732055.8,November 2007,2926455.1,,11,2007
2007-12-01,234497.5,1195271.94,,-2368484.4,,5056720.9,960774.4,737867.2,2378404.9,173,,5809826.5,,3116272.1,-1456685.6,2688236.5,7266512.1,-4144922.1,December 2007,2693554.3,,12,2007
2008-01-01,184369.68,1050304.69,,-2419584.3,,5338434.8,865935,667987.7,2804120,174,,6527673,,3472107.6,-918813.2,2918850.5,7446486.3,-3837663.7,January 2008,3055565.4,,1,2008
2008-02-01,199235.13,1065912.73,,-2456442.8,,5739400.7,866677.6,687552.1,3095799.9,175,,7016468.5,,3783352,-642887.5,3282957.9,7659356.1,-3925845.4,February 2008,3233116.5,,2,2008
2008-03-01,308226.13,1200043.02,,-2501996.3,,5964326.8,891816.9,662789.6,3883349,176,,7998232.8,,4546138.6,6610.1,3462330.5,7991622.8,-3455720.4,March 2008,3452094.2,,3,2008
