date,id,interBankCallRate,maxLending,mpr,mrr,oneMonthDeposit,period,primeLending,savingsDeposit,sixMonthsDeposit,threeMonthsDeposit,tmonth,treasuryBill,twelveMonthsDeposit,tyear
2006-01-01,1,27.06,18.23,0,13,7.88,January 2006,16.69,4.5,8.55,9.95,1,13.68,8.64,2006
2006-02-01,2,5.59,18.14,0,13,9.13,February 2006,16.57,2.96,8.95,9.68,2,11.49,8.36,2006
2006-03-01,3,7.77,17.89,0,13,9.37,March 2006,16.3,2.98,8.61,9.57,3,9.86,9.17,2006
2006-04-01,4,1.13,18.03,0,13,9.35,April 2006,16.25,2.98,8.78,10.23,4,8.6,8.93,2006
2006-05-01,5,1.57,18.36,0,13,9.4,May 2006,16.97,2.95,9.16,10.26,5,6.65,9.09,2006
2006-06-01,6,8.16,18.16,0,14,9.49,June 2006,17.08,2.96,9.43,10.25,6,8.41,8.19,2006
2006-07-01,7,3.37,18.61,0,14,9.49,July 2006,17.08,2.96,9.43,9.95,7,9.79,10.49,2006
2006-08-01,8,3.33,18.39,0,14,9,August 2006,16.81,2.91,9.57,9.68,8,8.4,8.21,2006
2006-09-01,9,10.45,18.52,0,14,8.98,September 2006,17.19,2.93,9.31,9.57,9,6.98,7.78,2006
2006-10-01,10,1.4,18.71,0,14,10.01,October 2006,17.19,3.08,10.15,10.23,10,7.94,8.08,2006
2006-11-01,11,9.7,18.72,0,14,10.05,November 2006,17.26,3.1,10.12,10.26,11,7,8.15,2006
2006-12-01,12,8.98,18.66,10,,9.99,December 2006,17.33,3.25,9.93,10.25,12,7.75,7.45,2006
2007-01-01,13,10.53,18.7,10,,10.31,January 2007,17.64,3.36,9.9,10.38,1,7.1,9.15,2007
2007-02-01,14,7.26,18.64,10,,9.97,February 2007,17.63,3.19,9.63,10.01,2,6.9,7.8,2007
2007-03-01,15,7.68,18.92,10,,10.48,March 2007,17.18,4.3,10,10.46,3,6.85,8.3,2007
