date,buyingrate,centralrate,currency,id,ratedate,sellingrate
2006-01-03,128,128.5,US DOLLAR,14646,2006-01-03,129
2006-01-04,128,128.5,US DOLLAR,14647,2006-01-04,129
2006-01-05,128,128.5,US DOLLAR,14648,2006-01-05,129
2006-01-06,128,128.5,US DOLLAR,14649,2006-01-06,129
2006-01-09,128,128.5,US DOLLAR,14650,2006-01-09,129
2006-01-12,128,128.5,US DOLLAR,14651,2006-01-12,129
2006-01-13,128,128.5,US DOLLAR,14652,2006-01-13,129
2006-01-16,128,128.5,US DOLLAR,14653,2006-01-16,129
2006-01-17,128,128.5,US DOLLAR,14654,2006-01-17,129
2006-01-18,128,128.5,US DOLLAR,14655,2006-01-18,129
2006-01-19,128,128.5,US DOLLAR,14656,2006-01-19,129
2006-01-20,128,128.5,US DOLLAR,14657,2006-01-20,129
2006-01-23,128,128.5,US DOLLAR,14658,2006-01-23,129
2006-01-24,128,128.5,US DOLLAR,14659,2006-01-24,129
2006-01-25,128,128.5,US DOLLAR,14660,2006-01-25,129
2006-01-26,128,128.5,US DOLLAR,14661,2006-01-26,129
2006-01-27,128,128.5,US DOLLAR,14662,2006-01-27,129
2006-01-30,128,128.5,US DOLLAR,14663,2006-01-30,129
2006-01-31,128,128.5,US DOLLAR,14664,2006-01-31,129
2006-02-01,127.5,128,US DOLLAR,14665,2006-02-01,128.5
2006-02-02,127.5,128,US DOLLAR,14666,2006-02-02,128.5
2006-02-03,127.5,128,US DOLLAR,14667,2006-02-03,128.5
2006-02-06,127.5,128,US DOLLAR,14668,2006-02-06,128.5
2006-02-07,127.5,128,US DOLLAR,14669,2006-02-07,128.5
2006-02-08,127.5,128,US DOLLAR,14670,2006-02-08,128.5
2006-02-09,127.5,128,US DOLLAR,14671,2006-02-09,128.5
2006-02-10,127.5,128,US DOLLAR,14672,2006-02-10,128.5
2006-02-13,127.5,128,US DOLLAR,14673,2006-02-13,128.5
2006-02-14,127.5,128,US DOLLAR,14674,2006-02-14,128.5
2006-02-15,127.5,128,US DOLLAR,14675,2006-02-15,128.5
2006-02-16,127.5,128,US DOLLAR,14676,2006-02-16,128.5
2006-02-17,127.5,128,US DOLLAR,14677,2006-02-17,128.5
2006-02-20,127,127.5,US DOLLAR,14678,2006-02-20,128
2006-02-21,127,127.5,US DOLLAR,14679,2006-02-21,128
2006-02-22,127,127.5,US DOLLAR,14680,2006-02-22,128
2006-02-23,127,127.5,US DOLLAR,14681,2006-02-23,128
2006-02-24,127,127.5,US DOLLAR,14682,2006-02-24,128
2006-02-27,127,127.5,US DOLLAR,14683,2006-02-27,128
2006-02-28,127,127.5,US DOLLAR,14684,2006-02-28,128
2006-03-01,127,127.5,US DOLLAR,14685,2006-03-01,128
2006-03-02,126.5,127,US DOLLAR,14686,2006-03-02,127.5
2006-03-03,126.5,127,US DOLLAR,14687,2006-03-03,127.5
2006-03-06,126.5,127,US DOLLAR,14688,2006-03-06,127.5
2006-03-07,126.5,127,US DOLLAR,14689,2006-03-07,127.5
2006-03-08,126.5,127,US DOLLAR,14690,2006-03-08,127.5
2006-03-09,126.5,127,US DOLLAR,14691,2006-03-09,127.5
2006-03-10,126.5,127,US DOLLAR,14692,2006-03-10,127.5
2006-03-13,126.5,127,US DOLLAR,14693,2006-03-13,127.5
2006-03-14,126.5,127,US DOLLAR,14694,2006-03-14,127.5
2006-03-15,126.5,127,US DOLLAR,14695,2006-03-15,127.5
2006-03-16,126.5,127,US DOLLAR,14696,2006-03-16,127.5
2006-03-17,126.5,127,US DOLLAR,14697,2006-03-17,127.5
2006-03-20,126.5,127,US DOLLAR,14698,2006-03-20,127.5
2006-03-21,126.5,127,US DOLLAR,14699,2006-03-21,127.5
