date,source,document_type,title,description,keywords,ref_no,url,filesize,source_id
2006-01-03,Central Bank of Nigeria,circulars,Re: Year 2005 Christian Pilgrimage: Purchase of Pilgims' Travelling Allowance,,"Our Circular Ted/ad/149/2005 of 28/12/2005, Authorised Dealers notified additional prilgims various state. Ted/ad/1/2006. Akanji O. O. (Mrs.) Trade & Exchange Year 2005 ChristianPilgrims.",Ted-ad-1-2006,https://www.cbn.gov.ng/OUT/CIRCULARS/TED/2006/TED-AD-1-2006.PDF,18 KB,1442
2006-01-04,Central Bank of Nigeria,circulars,Foreign Exchange Market Auction No. 01/2006 of 4/1/2006,,CBN offer US$100.00 million sale 4/1/2006 Current Account adequately funded.  Foreign Exchange Market Auction  No. 01 Ted/ad/1/2006.  Authorised Dealers new Forex Fod/D/S.14/VOL.XVI/78.  Akanji O. O. (Mrs.) Trade & Exchange bidding.,Ted-ad-2-2006,https://www.cbn.gov.ng/OUT/CIRCULARS/TED/2006/TED-AD-2-2006.PDF,13 KB,1440
2006-01-04,Central Bank of Nigeria,circulars,"The abolition of the Pre-shipment Inspection of Imports and Re-introduction of Destination Inspection of Imports:
Transitional Arrangements",,"All Authorised Dealers, Pre-shipment Inspection Agents (PIAs) general public abolition pre-shipment inspection scheme imports reintroduction destination inspection imports effective 1st January, 2006. Ted/ad/3/2006. Akanji O. O. (Mrs.) Trade & Exchange abolition of the pre-shipment Inspection Agents.",Ted-ad-3-2006,https://www.cbn.gov.ng/OUT/CIRCULARS/TED/2006/TED-AD-3- 2006.PDF,26 KB,1441
2006-01-06,Central Bank of Nigeria,circulars,Abilition of Pre-shipment Inspection of Imports and Re-introduction of Destination Inspection Scheme in Niogeria,,"Government abolish Pre-shipment Inspection re-introduce Destination Inspection 1st January, 2006. Ted/ad/150/2005. Akanji, O. O. (Mrs.) Trade & Exchange abolition of Pre-shipment of imports and Reintroduction of Destination Inspection Scheme.",Ted-ad-150-2005,https://www.cbn.gov.ng/OUT/CIRCULARS/TED/2006/TED-AD-150-2005.PDF,27 KB,1438
2006-01-06,Central Bank of Nigeria,circulars,Submission of Bids in the Foreign Exchange Market and Payment for Foreign Exchange Winnings,,"All Authorised Dealers consolidation December 31, 2005 emergence 25 banks submission bids FEM lead bank group. Ted/ad/4/2006. Akanji. O. O.  (Mrs.) Trade & Exchange submission of bids in the Forex Market and payment for Forex winnings.",Ted-ad-4-2005,https://www.cbn.gov.ng/OUT/CIRCULARS/TED/2006/TED-AD-4-2006.PDF,13 KB,1439
2006-01-09,Central Bank of Nigeria,circulars,Closure of Foreign Exchange Market For Id-El-Kabir Holiday,,"Federal Goverment Declared Tuesday 10th and Wednesday 11th January, 2006 as Public Holiday celebration Id-El-Kabir.  Authorised Dealers informed Auction result released Thurday 12th January, 2006.  No Auction Wednesday 11th January, 2006.  ",Ted-ad-8-2006,https://www.cbn.gov.ng/OUT/CIRCULARS/TED/2006/TED-AD-8-2006.PDF,17 KB,1434
2006-01-09,Central Bank of Nigeria,circulars,Code of Corporate Governance for Banks,,corporate governance weaknesses weakness Nigeria banks post consolidation integration board director management insider internal control oversight leadership code MD CEO compliance risk abuse sit tight related false return audit disclosure ownership independent integrity auditor,bsd-01-2006,https://www.cbn.gov.ng/OUT/CIRCULARS/BSD/2006/BSD-01-2006.PDF,6 KB,1436
2006-01-09,Central Bank of Nigeria,circulars,Foreign Exchange Market Auction No. 05/2006,,CBN offer US$70.00 million sale 9/1/2006 Current Account adequately funded.  Foreign Exchange Market Auction No. 2 Ted/ad/5/2006 authorised dealers new Forex Fod/D/S.14/VOL.XVI/78.  Akanji O. O. (Mrs.) Trade & Exchange bidding.,Ted-ad-5-2006,https://www.cbn.gov.ng/OUT/CIRCULARS/TED/2006/TED-AD-5-2006.PDF,13 KB,1435
2006-01-09,Central Bank of Nigeria,circulars,"N25, 000,000,000 3rd FGN BOND 2009 (3-YEAR TENOR)",,bond cbn ,bond-01-2006,https://www.cbn.gov.ng/OUT/CIRCULARS/PID/2006/fgn-bond-2006.PDF,40KB,1437
2006-01-09,Central Bank of Nigeria,circulars,Notice of Foreign Exchange Officers' Meeting ,,"All Authorised Dealers, Nigeria Customs Service and Scanning & Risk Service Providers (SC) Foreign Exchange Officers' Meeting scheduled Bankers' Committee Conference Hall, CBN, Lagos Tuesday, January 17, 2006 100.00 a.m. prompt.",Ted-ad-7-2006,https://www.cbn.gov.ng/OUT/CIRCULARS/TED/2006/TED-AD-7-2006.PDF,10 KB,1433
