date,source,document_type,title,description,keywords,ref_no,url,filesize,source_id
2006-01-03,Central Bank of Nigeria,press_releases,Bank Consolidation: 25 Banks Meet December 31st Deadline.,,"bank consolidation,25 banks,31st december deadline. press release,25 billion",CAD/PR3-06,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2006/pdf 3-1-06 pr.pdf,260 KB,2682
2006-01-12,Central Bank of Nigeria,press_releases,CBN Governor Speaks on Global Economy at World Economy Forum,,"CBN, Governor, Global Economy, World Economic Forum,Davos, Switzerland, january 25th to 29th 2006",CAD/PR12-1-06,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2006/pr 12-1-06.pdf,8 KB,2680
2006-01-12,Central Bank of Nigeria,press_releases,"Soludo to Receive Global, African Banker of the Year ",,"soludo, receive, global, african, banker of the year, award, thursdat 19th january 2006, dorchester hotel, london",CAD/PR12a-06,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2006/pr 12a-1-06.pdf,17 KB,2679
2006-01-16,Central Bank of Nigeria,press_releases,CBN Appoints Interim Management For 11 Banks,,"CBN, APPOINTS, INTERIM,MANAGEMENT, ELEVEN,11,BANKS,INSOLVENT BANKS",CAD/PR 16-06,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2006/pr 16-1-06.pdf,253 KB,2677
2006-02-03,Central Bank of Nigeria,press_releases, CBN Ibadan resumes normal banking services,,"CBN Ibadan, fire, soludo,banking services,operations",CAD/Pr/3-06,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2006/pr3-2-06.pdf,8 KB,2661
2006-06-06,Central Bank of Nigeria,press_releases,"Re-Presidency Lied Over $34b Reserves, Says Senator",,"presidency,lies,$34b,CBN,front page, monday june 5, 2006,farouk bello-bunza,reserves,$9.09",CAD/PR/6-6,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2006/pr6-6-06.pdf,66 KB,2628
2006-08-10,Central Bank of Nigeria,press_releases,"Central Bank of Nigeria Communique No.47 of the Monetary Policy Committee, August 9, 2006",,"CBN,communique,47,MOC,august9,2006,MRR,14%,macroeconomic developments,inflation,external reserves,monetary aggregates,challenges",CAD/Pr/10-8,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2006/pr10-8-06.pdf,252 KB,2608
2006-08-10,Central Bank of Nigeria,press_releases,Inflationary Pressure Poses Challenge to the Economy,,"inflationary,challenge,economy,soludo,excess crude revenue,47th, Monetary Policy Committee,Wednesday,9th 2006,macroeconomic developments,MRR,DISCOUNT WINDOW",CAD/ev10/06,https://www.cbn.gov.ng/out/publications/reports/gov/2006/ev10-8-06.pdf,9 KB,2607
2006-10-03,Central Bank of Nigeria,press_releases,Press Statement Re: INEC'S N20 Billion Trapped In The Central Bank of Nigeria,"The attention of the Central bank of Nigeria has been drawn to news reports in most newspapers credited to the chairman of the Independent National Electoral Commission (INEC). Prof. Maurice Iwu, to the effect that INEC's N20 billion was trapped in the CBN. For avoidance of doubt, the CBN does not have such a mandate for N20 billion as alleged by the INEC chairman. <a href=""http://www.cenbank.org/out/Publications/pressrelease/gov/2006/Pr3-10-06.pdf"">Read More</a>",,,https://www.cbn.gov.ng/out/Publications/pressrelease/gov/2006/Pr3-10-06.pdf,,259
2006-11-28,Central Bank of Nigeria,press_releases,"Central Bank of Nigeria Communique No.48 of the Monetary Policy Committee,November 11, 2007",,MPC Communique 48,mpc-11-2006,https://www.cbn.gov.ng/OUT/CIRCULARS/MPD/2007/mpc-48.pdf,13 KB,2596
2007-01-24,Central Bank of Nigeria,press_releases,"Fire Outbreak within CBN Branch Building, Abuja,   Housing  National Planning Commission Office.",,central bank;nigeria;press statement;press release;fire;branch;abuja;garki;national planning;commission.,CAD/Pr/24-1/07,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2007/pr24-1-07.pdf,238 KB,2593
2007-02-07,Central Bank of Nigeria,press_releases,"Central Bank of Nigeria Communique No. 49 of the Monetary Policy Committee, February 7, 2007",,MPC Communique 49,mpc-02-2007,https://www.cbn.gov.ng/OUT/CIRCULARS/MPD/2007/mpc-49.pdf,31 KB,2590
2007-03-02,Central Bank of Nigeria,press_releases,"Central Bank of Nigeria Communique No.48 of the Monetary Policy Committee, 28th November, 2006",,"Central Bank of Nigeria, Communique, No.48, Monetary Policy Committee,MPC, 28th November, 2006,MRR",CAD/Pr/2a-3/07,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2007/pr2a-3-07.pdf,13 KB,2586
2007-03-02,Central Bank of Nigeria,press_releases,"Exchange of Old Currency Denominations of -N-5,-N-10,-N-20 and -N-50 for the Redesigned Notes",,"Exchange , old, Currency, Denominations,  -N-5,-N-10,-N-20 , -N-50 , Redesigned ,Notes",CAD/Pr/2-3/07,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2007/pr2-3-07.pdf,209 KB,2585
2007-03-21,Central Bank of Nigeria,press_releases,"Central Bank of Nigeria Communique No. 49 of The Monetary Policy Committee, february 2007",,"MPD, MPC, Moetary Policy Department",49,https://www.cbn.gov.ng/out/publications/pressrelease/csd/2007/cbn mpc 49 2007 communique.pdf,32 KB,2581
2007-03-23,Central Bank of Nigeria,press_releases,Replacement of Ajami Inscription from the Redesigned Naira Notes,,"Replacement, Ajami, Inscription, Redesigned, Naira, Notes,Central Bank, Nigeria,Press Release",CAD/Pr/23-3/07,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2007/pr23-3-07.pdf,193 KB,2580
2007-05-30,Central Bank of Nigeria,press_releases,Public Annonucement,,"public annoucement,lower,denomination,currency,notes,N50,N20,N10,N5,3st Mat 2007,transactions,banks,deposit",CAD/Pr/30-5/07,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2007/pr30-5-07.pdf,5 KB,2574
2007-07-03,Central Bank of Nigeria,press_releases,"A Brief on the Central Bank of Nigeria (CBN) Act, 2007",,"breif,central bank, nigeria,act,2007,supervision,review,framework,abuse of naira,external reserve",CAD/Pr/3-7/07,https://www.cbn.gov.ng/out/publications/pressrelease/gov/2007/pr3-7-07.pdf,29 KB,2566
