date,source,document_type,title,url
2008-01-03,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for January 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/422-summary-of-auction-result-for-january-2008/file
2008-02-18,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for February 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/420-summary-of-auction-result-for-february-2008/file
2008-03-12,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for March 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/424-summary-of-auction-result-for-march-2008/file
2008-04-15,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for April 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/417-summary-of-auction-result-for-april-2008/file
2008-05-05,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for May 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/426-summary-of-auction-result-for-may-2008/file
2008-06-03,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Results for June 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/434-summary-of-auction-results-for-june-2008/file
2008-07-15,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Results for July 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/433-summary-of-auction-results-for-july-2008/file
2008-08-12,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for August 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/419-summary-of-auction-result-for-august-2008/file
2008-09-08,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for September 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/432-summary-of-auction-result-for-september-2008/file
2008-10-02,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for October 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/429-summary-of-auction-result-for-october-2008/file
2008-11-13,Debt Management Office Nigeria,fgn_bond_auction_result,Summary of Auction Result for November 2008,https://www.dmo.gov.ng/fgn-bonds/bonds-auction-results/427-summary-of-auction-result-for-november-2008/file
